AAB	Abelag Aviation	ABG
BHI	Balkh Airlines - Afghanistan	Sharif
BHK	?	Bluhalkin
BHL	Bristow Helicopters Group Ltd.	Bristow
BHN	Bristow Helicopters (Nig) Limited - Nigeria	Bristow Helicopters
BHO	Bhoja Airlines - Pakistan	Bhoja
BHP	Belair Airlines AG - Switzerland	Belair
BHR	Bighorn Airways, Inc. (Sheridan, WY)	Bighorn Air
BHS	Bahamas Air Holdings Ltd. - Bahamas	Bahamas
BHY	Bosphorus Avrupa Hava Yollari A.S. (Bosphorus European Airways) - Turkey	Bosphorus
BIC	?	Balesin
BID	Binair GmbH, Munchen - Germany	Binair
BIE	Air Mediterranee - France	Mediterranee
BIG	Big Island Air, Inc. (Kailua - Kona, HI)	Big Isle
BIH	British International	Brintel
BIL	Billund Air Center A/S - Denmark	Bilair
BIN	Boise Interagency Fire Center (Boise, ID)	Bison-Air
BIO	?	Bioflight
BIR	Bird Leasing, Inc. (North Andover, MA)	Bird Air
BIS	?	Juma Air
BIT	Northeast Aviation, Inc. (Lansing, IL) - United States	Run Bitty
BIV	Aviaservice - Georgia	Aviaservice
BIZ	Mexico	Bizmex
BJA	Baja Air, S.A. de C.V. - Mexico	Baja Air
BJC	Baltic Jet Aircompany - Latvia	Baltic Jet
BJF	Mexico	Baxa
BJK	Atlantic Airlines (Orlando, FL)	Blackjack
BJN	?	Air-Jinghua
BJS	Business Jet Solutions (Dallas, TX)	Solution
BJT	ACM Aviation, Inc. (San Jose, CA)	Bay Jet
BJU	Aerojet Airlines	Jet Express
BJV	?	Beijing Vista
BKA	Bankair, Inc. (West Columbia, SC)	Bankair
BKB	State of West Virginia, Aviation Division (Charleston, WV)	Black Bear
BKF	BF-Lento Oy	Bakerflight
BKH	?	Barkston
BKJ	Barken International, Inc. (Salt Lake City, UT)	Barken Jet
BKK	Blink Ltd	Blinkair
BKL	Aircompany Barcol - Russian Federation	Barcol
BKM	Advisors Aviation (St. Louis, MO)	Cardinal
BKN	Parks College of Engineering, Aviation and Technology, St. Louis University (Cahokia, IL) - United States	Billiken
BKO	?	Briko
BKP	Bangkok Airways - Thailand	Bangkok Air
BKS	?	Berks
BKT	?	Blacktail
BKV	Bukovyna - Ukraine	Bukovyna
BKY	?	Blue Airways
BLB	Blue Bird Aviation Co. Ltd - Sudan	Bluebird Sudan
BLC	Bellesavia - Belarus	Bellesavia
BLD	Bournemouth Commercial Flight Training Centre	Blackadder
BLE	?	Bluewater
BLF	Blue1 Oy, Finland	Bluefin
BLG	Belgavia (Societe de Handling)	Belgavia
BLH	Blue Horizon Travel Club (Cincinnati, OH)	Blue Horizon
BLI	Thyssen Krupp Ag, Dusseldorf - Germany	Blueline
BLJ	?	Bluejet
BLK	Westcoast Energy - Canada	Blue Flame
BLL	Baltic Airlines - Russian Federation	Baltic Airlines
BLM	?	Heli Per
BLN	?	Belton
BLO	VC Belogorie - Russian Federation	Belogorie
BLR	?	Blueridge
BLS	Bearskin Lake Air Service Limited - Canada	Bearskin
BLT	?	Blue Tie
BLU	?	Bluegrass
BLV	Bell-View Airlines Limited - Nigeria	Bellview Airlines
BLW	Wermlandsflyg Operations Ab	Bluestar
BLX	Tuifly Nordic Ab	Bluescan
BLY	Starair (Ireland) Ltd - Ireland	Blarney
BLZ	Aero Barloz, S.A. de C.V. - Mexico	Aeroloz
BMD	British Medical Charter	British Medical
BME	Briggs Marine Environmental Services Ltd	Briggs
BMG	?	Boomerang
BMJ	Bemidji Airlines (Bemidji, MN)	Bemidji
BML	Bismillah Airlines Ltd - Bangladesh	Bismillah
BMM	Atlas Blue - Morocco	Atlas Blue
BMP	?	Air Bama
BMR	British Midland Regional Ltd.	Midland
BMS	?	Blue Messanger
BMT	Bahamas Habitat (Cary, NC)	Symonette
BMW	BMW Flugdienst, Munchen-Flughafen - Germany	BMW-Flight
BMX	Banco de Mexico - Mexico	Banxico
BNA	?	Bun Air
BNB	?	Dazzle
BNC	Sundance Air, Incorporated (Denver, CO) - United States	Barnacle Air
BND	Bond Offshore Helicopters Ltd	Bond
BNF	Bristol Flight Training Centre Ltd	Brunel
BNG	BN Group Limited	Vectis
BNJ	?	Jet Belgium
BNL	Blue Nile Ethiopia Trading P.L.C. - Ethiopia	Nile Trading
BNR	Royal Air Ltd - Benin	Benin Royal
BNS	Valley National Corp. D/B/A Bancstar (Phoenix, AZ)	Bancstar
BNT	Bentiu Air Transport - Sudan	Bentiu Air
BNV	Benane Aviation Corporation - Mauritania	Benane
BNX	I.A.A.C.A. (L.A.I.) - Venezuela	Air Barinas
BOA	Boniair - The Former Yugoslav Republic of Macedonia	Kumanovo
BOB	?	Backbone
BOC	Aerobona, S.A. de C.V. - Mexico	Aerobona
BOD	Bond Air Services Ltd. - Uganda	Ugabond
BOE	Boeing Commercial Airplane Group (Seattle, WA) - United States	Boeing
BOF	Bornfly Aps	Bornflight
BOH	Air Bohemia A.S.	Bohemia
BOI	Aboitiz Air Transport Corporation	Abair
BOL	Transportes Aereos Bolivianos (TAB) - Bolivia	Bol
BON	B&H Airlines - Bosnia and Herzegovina	BH Airlines
BOO	Bookajet Ltd	Bookajet
BOR	Bolidor S.A. - Uruguay	Bolidorsa
BOS	Openskies	Mistral
BOT	Air Botswana (Pty.), Ltd. - Botswana	Botswana
BOX	Aerologic GmbH, Leipzig - Germany	German Cargo
BPA	Blue Panorama Airlines SpA - Italy	Blue Panorama
BPH	?	Black Phoenix
BPO	Bundespolizei-Fliegergruppe, St. Augustin - Germany	Pirol
BPS	Budapest Aircraft Service Ltd - Hungary	Base
BPT	Bonus Aviation	Bonus
BRA	Aviatsiya State Aviation Emergency Rescue Agency - Belarus	Belrescue
BRB	Bra-Transportes Aereos Ltda. - Brazil	Bra-Transpaereos
BRC	Breeze Aviation - Bulgaria	Bravi
BRD	Brock Air Services Ltd. - Canada	Brock Air
BRE	Breeze Ltd - Ukraine	Aviabreeze
BRF	Air Bravo - Uganda	Air Bravo
BRG	Bering Air, Inc. (Nome, AK)	Bering Air
BRH	Star Air Cargo (Pty) Ltd - South Africa	Brightstar
BRI	?	Barrick
BRJ	?	Bora Jet
BRK	Heavy Airlift Wing - Hungary	Bartok
BRL	?	Brass Line
BRN	Eclipse Airlines, Inc. D/B/A Branson  Airlines, Inc. (Chantilly, VA) - United States	Branson
BRO	2 Excel Aviation Ltd	Broadsword
BRP	Airport Bratsk, JSC - Russian Federation	Aerobra
BRQ	El-Buraq Air Transport Inc. - Libyan Arab Jamahiriya	Buraqair
BRR	Mountain Air Service, Inc (Big Bear City, CA)	Mountain Air
BRS	Brazilian Air Force - Brazil	Brazilian Air Force
BRT	?	British
BRU	Belavia - Belarus	Belarus Avia
BRX	Braathens Regional Ab	Braathens
BRY	Burundayavia JSC - Kazakhstan	Burair
BSA	Air Bissau International Lda - Guinea-Bissau	Bissau International
BSB	Air Wings - Republic of Moldova	Arbas
BSC	Aerostan - Kyrgyzstan	Big Shot
BSD	Blue Star Airlines, S.A. de C.V. - Mexico	Airlines Star
BSH	?	Capital Rotor
BSJ	?	Skybus Jet
BSK	Miami Air International, Inc. (Miami, FL)	Biscayne
BSL	Air Brasil Linhas Aereas LTDA - Brazil	Airbrasil
BST	Best Airlines - Turkey	Barbie
BSX	?	Bassaka
BSY	Big Sky Airlines (Billings, MT)	Big Sky
BTH	Baltijas Helicopters - Latvia	Baltijas Helicopters
BTI	Air Baltic Corporation JSC - Latvia	Airbaltic
BTK	?	Batik
BTL	Baltia Air Lines, Inc. (Jamaica, NY)	Baltia
BTN	Bhutan Airline	Bhutan Air
BTP	?	Bahria Town
BTQ	?	Boutique
BTR	Botir-Avia - Kyrgyzstan	Botir-Avia
BTS	Aerolineas Nacionales Albatros, S.A. de C.V. - Mexico	Aerolineas Albatros
BTU	Rolls Royce Ltd. (Bristol Engine Division) - United Kingdom	Rolls
BTV	Metro Batavia, Pt. - Indonesia	Batavia
BTZ	?	Bristow Group
BUC	Bulgarian Air Charter	Bulgarian Charter
BUG	?	Hexbug
BUN	Buryat Airlines Aircompany - Russian Federation	Bural
BUR	?	Air Bucharest
BUT	?	Butlers
BVA	Buffalo Airways (Waco, TX)	Buffalo Air
BVC	Bulgarian Aeronautical Centre	Bulgarian Wings
BVG	BVG Viajes, S.A. de C.V. - Mexico	Beeveegee Viajes
BVI	?	Drake
BVL	?	Bulgary
BVN	Baron Aviation Services, Inc. (Vichy, MO)	Show-Me
BVR	ACM Air Charter GmbH, Rheinmunster	Bavarian
BVT	Berjaya Air Sdn Bhd - Malaysia	Berjaya
BVV	?	Sparc
BWA	Caribbean Airlines Limited - Trinidad and Tobago	Caribbean Airlines
BWD	?	Bluewest
BWI	Blue Wing Airlines N.V. - Suriname	Blue Tail
BWJ	?	Bellawing
BWK	?	Alteraero
BWN	?	Blueheli
BWS	Bass Airways CC - South Africa	Bass Exec
BWY	Fleet Requirements Air Direction Unit	Broadway
BXA	Bahrain Executive Air Services Co. (Bexair)	Bexair
BXH	Bar XH Air Inc. - Canada	Palliser
BXJ	?	Brixtel Jet
BXR	Redding Aero Enterprises, Inc. (Redding, CA) - United States	Boxer
BXX	?	Strongbox
BYA	Berry Aviation, Inc. (San Marcos, TX)	Berry
BYC	?	Bayon Air
BYF	?	Bay Flight
BYG	?	Bygone
BYK	Skybus - Kazakhstan	Sumko
BYL	Bylina, Joint-Stock Company - Russian Federation	Bylina
BZA	Mexico	Bonan Air
BZE	?	Zenstar
BZH	Britair S.A.	Britair
BZQ	?	Sting
BZS	Aero Biniza, S.A. de C.V. - Mexico	Biniza
BZY	?	Breezy
BZZ	Butane Buzzard Aviation Corporation	Buzzard
CAA	?	Inspector
CAB	Chesapeake Air Service (Pasadena, MD) - United States	Chesapeake Air
CAC	Conquest Airlines (Beaumont, TX) - United States	Conquest Air
CAD	Cardig Air, Pt. - Indonesia	Cardig Air
CAE	Centrafrique Air Express - Central African Republic	Express Centraf
CAH	?	Air Chaba
CAI	Turistik Hava Tasimacilik A.S.	Corendon
CAJ	Air Caraibes Atlantique - France	Car Line
CAL	?	Dynasty
CAM	Village Aviation, Inc. D/B/A Camai-Air (Bethel, AK) - United States	Air Camai
CAN	Contact Air Sarl	Gober Air
CAO	Air China Cargo Co., Ltd	Airchina Freight
CAP	United States Air Force Auxiliary / Civil Air Patrol (Maxwell AFB, AL)	Cap
CAR	Inter RCA - Central African Republic	Quebec Romeo
CAS	Christman Air System (Washington, PA) - United States	Christman
CAT	Copenhagen Airtaxi A/S - Denmark	Aircat
CAU	Canarias Aeronautica, S.L.	Canarias Link
CAV	Calm Air	Calm Air
CAW	Comair Ltd - South Africa	Commercial
CAX	?	Consorcio
CAY	Cayman Airways Ltd. - United Kingdom	Cayman
CAZ	Cat Aviation AG - Switzerland	Eurocat
CBA	?	Calibra
CBB	Cargo B Airlines N.V./S.A. - Belgium	Cargo-Bee
CBC	Caribair, S.A. - Dominican Republic	Caribair
CBD	Lockheed Martin Aeronautics  (Fort Worth, TX) - United States	Catbird
CBE	Aerovias Caribe, S.A. - Mexico	Aerocaribe
CBG	?	Green City
CBH	?	Club House
CBI	CABI - Ukraine	Cabi
CBJ	?	Capital Jet
CBK	?	Stalbek Air
CBL	?	Colombe Line
CBM	?	Cambrian
CBN	?	Carbondale
CBO	Aerotaxi del Cabo, S.A. de C.V. - Mexico	Taxi Cabo
CBS	Air Columbus - Ukraine	Air Columbus
CBT	Catalina Flying Boats, Inc. (Long Beach, CA) - United States	Catalina Air
CBV	Aereo Cabo, S.A. de C.V.	Caboaereo
CBX	?	Cobrex
CBY	Coningsby FTU - United Kingdom	Typhoon
CBZ	?	Cool Breeze
CCA	Air China	Air China
CCB	?	Dolphin
CCC	?	Global Cargo
CCD	?	Xiangjian
CCF	CCF Manager Airline GmbH, Koln - Germany	Tomcat
CCG	Czech Connect Airlines	Central Charter
CCH	Chilchota Taxi Aereo, S.A. de C.V. - Mexico	Chilchota
CCL	?	Angkor Wat
CCM	Corse-Mediterranee, Compagnie - France	Corsica
CCO	?	Avic Cargo
CCP	Grand Holdings, Inc. Champion Air (Manhattan Beach, CA) - United States	Champion Air
CCQ	Capital City Air Carriers, Inc. (Pierre, SD)	Cap City
CCS	?	Skyspirit
CCT	?	Connect
CCU	?	Acacus Air
CCV	Centro de Helicopteros Corporativos, S.A. de C.V. - Mexico	Helicorporativo
CCW	Coptrade Air Transport - Sudan	Coptrade Air
CCY	Cherry Air, Inc. (Dallas, TX) - United States	Cherry
CDA	Aerocardal - Chile	Aerocardal
CDC	?	Loong Air
CDE	Comed Group - United Kingdom	Comex
CDF	?	Servicio Aereo
CDG	Shandong Airlines - China	Shandong
CDI	Cards Air Services, Inc. - Philippines	Cards
CDL	?	Carolina
CDN	?	Canadian
CDP	Aerocondor S.A. - Peru	Condor-Peru
CDQ	?	Chodang Flight
CDR	Bombardier Montreal - Canada	Canadair
CDS	Spectrem Air Ltd - South Africa	Specdas
CDT	Real Aero Club de Reus-Costa Dorada - Spain	Aeroreus
CDV	Airline Skol - Russian Federation	Skol
CDY	Heliaviation Limited - United Kingdom	Caddy
CEA	Corporate Express Airlines (Nashville, TN) - United States	Corp-X
CEB	Cebu Pacific Air - Philippines	Cebu Air
CEC	?	Eastern Jet
CEE	Servicios Aereos Centrales, S.A. de C.V. - Mexico	Centra Aereos
CEF	Czech Air Force	Czech Air Force
CEG	Cega Aviation Limited - United Kingdom	Cega
CEL	Ceiba Intercontinental - Equatorial Guinea	Ceiba Line
CEN	?	Shumba
CEP	Chipola Aviation, Inc. (Marianna, FL)	Chipola
CER	?	Cosmer
CES	China Eastern Airlines	China Eastern
CET	Centrafrican Airlines - Central African Republic	Centrafricain
CEV	Centre d'Essais en Vol - France	Centev
CEW	Central Airways - Central African Republic	Trydonair
CEY	Air Century, S.A. - Dominican Republic	Centuryflight
CEZ	?	Cesszani
CFA	China Flying Dragon Aviation Co.	Feilong
CFB	?	Forebase
CFC	Canadian Armed Forces	Canforce
CFD	Cranfield University - United Kingdom	Aeronaut
CFE	BA Cityflyer Ltd	Flyer
CFF	Aerofan - Spain	Aerofan
CFG	Condor Flugdienst GmbH, Kelsterbach (Sitz) - Germany	Condor
CFH	Care Flight Pty Ltd - Australia	Care Flight
CFI	Flight Inspection Center of the General Administration of Civil Aviation of China - China	China Jet
CFL	Swedish Civil Aviation Administration	Calibration
CFN	Church Fenton FTU	Church Fenton
CFR	?	Calfire
CFS	?	Empire Air
CFT	Jet Freighters, Inc. (Portland, ME) - United States	Casper Freight
CFU	CAA Flying Unit	Minair
CFV	Aero Calafia, S.A. de C.V. - Mexico	Calafia
CFX	?	Ceefa Charter
CFZ	China Flight General Aviation Company	Zhongfei
CGA	Congressional Air, Ltd (Gaithersburg, MD) - United States	Congressional
CGB	?	Comglob
CGC	Cal Gulf Aviation - Sao Tome and Principe	Cal-Gulf
CGE	Nelson Aviation College Ltd - New Zealand	College
CGF	Cargo Air Ltd - Bulgaria	Clever
CGG	Walmart Aviation (Rogers, AR)	Charge
CGH	China	Welkin
CGI	?	CGI-Rusair
CGK	Click Airways - Kyrgyzstan	Click Air
CGN	?	Chang An
CGO	Chicago Air, Inc. (Chicago, IL)	Wild Onion
CGP	Capital Aircraft Group - Belgium	Capgroup
CGR	?	Comprip
CGS	Centre of Applied Geodynamica, Industrial Enterprise - Russian Federation	Geo Centre
CGU	Chinguetti Airlines - Mauritania	Chinguetti
CGV	Aero Clube Do Algarve - Portugal	Clube Algarve
CGX	United States Coast Guard Auxiliary (Washington, DC)	Coastguard Auxair
CGZ	China	Colorful
CHA	Central Flying Service, Inc. (Little Rock, AR) - United States	Charter Central
CHB	China West Air Co., Ltd	West China
CHC	China Ocean Helicopter Corp. - COHC	China Helicopter
CHD	223 Flight Unit, State Airline	Chkalovsk-Avia
CHE	Top Flight Air Service, Inc. (Tampa, FL)	Check Air
CHF	Tianjin Jeppesen International Flight College Co., Ltd - China	Chao Fei
CHH	Hainan Airlines - China	Hainan
CHI	Cougar Helicoptes,Inc. - Canada	Cougar
CHJ	?	Shining
CHK	Flying Boat, Inc. D/B/A Chalks International  Airlines (Ft. Lauderdale, FL) - United States	Chalks
CHL	?	Ultra
CHN	Channel Island Aviation (Oxnard, CA) - United States	Channel
CHO	Chrome Air Services Ltd - Nigeria	Chrome Air
CHP	Consorcio Aviaxsa, S.A. de C.V. - Mexico	Aviacsa
CHQ	Chautauqua Airlines (Jamestown, NY) - United States	Chautauqua
CHU	Church Aircraft Ltd (Denver, CO) - United States	Churchair
CHV	Air Charter Professionals, Inc. (Opa Locka, FL)	Chartair
CHX	Hubschrauber im Luftrettungsdienst, Berlin	Christoph
CHZ	Cherlines - Russian Federation	Cherl
CIA	Civil Aviation Authority of the Slovak Republic - Slovakia	Calimera
CIE	Czech Government Flying Service	Czechia
CIG	Sirius-Aero - Russian Federation	Sirius Aero
CIJ	C&I Corporation	Nikolaus
CIM	Cimber A/S	Cimber
CIN	?	Cinnamon
CIO	Il Ciocco International Travel Service Srl - Italy	Ciocco
CIR	Arctic Circle Air Service, Inc. (Fairbanks, AK)	Air Arctic
CIS	Cat Island Air - Bahamas	Cat Island
CIT	?	Zane
CIU	Cielos del Peru S.A. - Peru	Cielos
CIV	Civil Aviation Authority of New Zealand - New Zealand	Civair
CIX	City Connexion Airlines - Burundi	Connexion
CJC	Colgan Air (Manassas, VA) - United States	Colgan
CJE	?	Custom Jet
CJI	Corporate Jets, Inc. (West Mifflin, PA) - United States	Sea Jet
CJM	?	Checkmark
CJR	Caverton Helicopters Ltd - Nigeria	Caverton Air
CJS	Commonwealth Jet Service, Inc. (Sandston, VA)	Commonwealth
CJT	Cargojet Airways Ltd - Canada	Cargojet
CJX	China	Air Crane
CJZ	?	Caliber Jet
CKA	Cook Inlet Aviation, Inc. (Homer, AK) - United States	Cook-Air
CKE	Corporate Aviation Services, Inc. (Tulsa, OK) - United States	Checkmate
CKK	China Cargo Airlines Ltd	Cargo King
CKM	Rivaflecha, S.L. (BKS Air) - Spain	Rivaflecha
CKR	Crown Air Systems - United States	Crown Air
CKS	Kalitta Air, LLC - United States	Connie
CLB	?	Calibrator
CLC	Scambesco Cc trading as Cloud 9 Air Charters	Mothership
CLD	Clowes Estates Ltd - United Kingdom	Clowes
CLE	Colemill Enterprises (Nashville, TN) - United States	Colemill
CLF	Bristol Flying Centre	Clifton
CLG	Chalair Aviation - France	Challair
CLH	Lufthansa Cityline GmbH	Hansaline
CLI	Clickair, S.A. - Spain	Clickjet
CLJ	?	Cellojet
CLK	Clark Aviation Corp. (New Cumberland, PA) - United States	Clarkair
CLL	Aerovias Castillo, S.A. - Mexico	Aerocastillo
CLM	Cargo Link (Caribbean) Inc. - Barbados	Cargo Link
CLN	?	Cleopatra
CLO	?	Challenge Ukraine
CLP	Aero Club de Portugal - Portugal	Club Portugal
CLR	Trans America (Englewood, CO)	Clinton Airways
CLS	Challenge Air Luftverkehrs GmbH, Troisdorf - Germany	Airisto
CLU	United Kingdom	Firebird
CLV	Lom Praha Flying School - Czech Republic	Aerotraining
CLW	Nowy Przewoznik Sp. Z.o.o.	Centralwings
CLX	Cargolux Airlines International S.A. - Luxembourg	Cargolux
CLY	Clay Lacy Aviation (Seattle, WA) - United States	Clay-Lacy
CLZ	Cloud 9 Air Charters - South Africa	Cloudline
CMB	US Transportation Command	Camber
CMC	?	Esterline
CMD	Calstar	Calstar Med
CME	?	Commerce Bank
CMF	Air Care Alliance (Storrs, CT)	Compassion
CMG	Comet Airlines Limited - Nigeria	Sunspy
CMH	Commair Aviation Limited - United Kingdom	Commodore
CMI	Continental Micronesia, Inc. (Tamuning, Guam) - United States	Air Mike
CMJ	?	Comfort Jet
CMK	?	Cosmos Lanka
CML	Community Airlines - United Republic of Tanzania	Community
CMM	Compagnie Aerienne du Mali S.A. - Mali	Camali
CMN	Eckles Aircraft Co. (Holdenville, OK) - United States	Cimmaron Aire
CMO	KGFM Transport and Logistics (Pty) Ltd - South Africa	Camelot
CMP	Compania Panamena de Aviacion, S.A. - Panama	Copa
CMR	Cam Air Management Ltd	Cameo
CMT	Casement Aviation (Plainesville, OH) - United States	Casement
CMV	Calima de Aviacion S.L.	Calima
CMX	El Caminante Taxi Aereo, S.A. de C.V. - Mexico	El Caminante
CMZ	CM Stair, Compagnie Mauritanienne des Services et Transport Aerien - Mauritania	Cee-Em Stairs
CNA	?	Canavia
CNB	Cityline Hungary Ltd - Hungary	Cityhun
CNC	Corporacion Aereo Cencor, S.A. de C.V. - Mexico	Cencor
CND	?	Dutch Corendon
CNF	?	Canary
CNG	Coastal Airways (Gulfport, MS) - United States	Sid-Air
CNI	Empresa Nacional de Servicios Aereos - Cuba	Seraer
CNK	Sunwest Aviation Ltd - Canada	Chinook
CNL	Centennial Airlines, Inc. (Laramie, WY) - United States	Wyo-Air
CNM	Air China Inner Mongolia	Mengyuan
CNO	SAS Scandinavian Airlines Norge As	Scanor
CNP	?	Cargo North
CNR	?	Conaero
CNS	?	Chronos
CNT	Centre National d'Etudes des Telecommunications (C.N.E.T.) - France	Knet
CNU	Air Consul - Spain	Air Consul
CNV	US Navy Air Logistics Office (New Orleans, LA)	Convoy
COB	Cotair - Benin	Cotair Benin
COD	Concordavia Ltd - Ukraine	Concordavia
COE	Comtel - Air Luftverkehrs GmbH - Austria	Comtel-Air
COI	?	Coaviation
COL	?	Colony
COM	Comair, Inc. (Cincinnati, OH) - United States	Comair
CON	Continental Oil Co. (Ponca City, OK) - United States	Conoco
COO	?	Cove
COP	Copper State Air Service, Inc. (Mesa, AZ) - United States	Copper State
COS	Coyotair, S.A. - Spain	Yoco
COT	?	Mara
COV	Signchoose Ltd T/A Helicentre Coventry - United Kingdom	Helicentre
COW	Cowi A/S - Denmark	Cowi
COX	?	Cox Aviation
COY	Coyne Aviation Limited - United Kingdom	Coyne Air
COZ	Cosmic Air Pvt. Ltd - Nepal	Cosmic Air
CPA	Cathay Pacific Airways Ltd. - Hong Kong, China	Cathay
CPD	Capital Airlines Limited - Kenya	Capital Delta
CPE	Copterline	Copterline
CPG	Corporacion Aeroangeles, S.A. de C.V. - Mexico	Corporang
CPI	Compagnia Aeronautica Italiana S.p.A. - Italy	Aircai
CPL	Chaparral Airlines (Abilene, TX) - United States	Chaparral
CPN	Caspian Airlines - Iran (Islamic Republic of)	Caspian
CPO	Corporate Aircraft Company (Gardner, KS) - United States	Mokan
CPP	?	Copterplus
CPR	?	Caribe-Peru
CPT	?	Air Spur
CPV	Air Corporate S.r.l. - Italy	Aircorporate
CPX	Capital Air Service, Inc. (Manhattan, KS)	Capair
CPZ	Compass Airlines (Minneapolis, MN)	Compass
CQH	Spring Airlines Co., Ltd - China	Air Spring
CQN	Chong Qing Airlines Co., Ltd	Chong Qing
CRA	?	Cimas
CRB	Kuyake Aviation Inc D/B/A Caribbean Commuter Airways - Suriname	Caribbean Commuter
CRC	?	Camairco
CRD	Air Corridor - Mozambique	Air Corridor
CRF	?	Croix Rouge
CRG	Cargoitalia SpA - Italy	Cargoitalia
CRH	Cri Helicopters Mexico, S.A. de C.V. - Mexico	Heli-Mex
CRI	?	Croair
CRJ	Air Cruzal - Angola	Air Cruzal
CRK	Hong Kong Airlines Ltd	Bauhinia
CRL	Corse Air International - France	Corsair
CRM	Commander Mexicana, S.A. de C.V. - Mexico	Commandermex
CRN	Empresa Aerocaribbean S.A. - Cuba	Aerocaribbean
CRO	Crown Airways, Inc. (Dubois, PA) - United States	Crown Airways
CRP	Aerotransportes Corporativos, S.A. de C.V. - Mexico	Aerotranscorp
CRQ	Air Creebec - Canada	Cree
CRR	?	Railcar
CRS	Comercial Aerea, S.A. de C.V. - Mexico	Comercial Aerea
CRT	Caribintair S.A. - Haiti	Caribintair
CRU	?	Vic-Starlit
CRV	Acropolis Aviation Ltd	Acropolis
CRW	Central American Airways - Honduras	Central American
CRX	Cross Aviation Ltd - United Kingdom	Crossair
CRY	?	Cerney
CSA	Czech Airlines J.S.C.	CSA-Lines
CSB	?	Cargo South
CSC	Si Chuan Airlines - China	Si Chuan
CSD	Courier Services, Inc. (Tempe, AZ) - United States	Delivery
CSF	Clasair - United Kingdom	Caledonian
CSG	?	Geocaucasus
CSH	Shanghai Airlines - China	Shanghai Air
CSI	Central Skyport, Inc. (Columbus, OH) - United States	Skyport
CSJ	Castle Aviation, Inc. (Ravenna, OH) - United States	Castle
CSK	Flightcraft, Inc. (Portland, OR)	Cascade
CSL	Minson Aviation, Inc. D/B/A California Air  Shuttle (Oxnard, CA) - United States	California Shuttle
CSM	?	CSM Servicios
CSN	China Southern Airlines	China Southern
CSO	Casino Airlines, Inc. (Shreveport, LA) - United States	Casair
CSP	Casper Air Service, Inc. (Casper, WY) - United States	Casper Air
CSQ	IBC Airways, Inc. (Miami, FL) - United States	Chasqui
CSR	Costa Rica Skies Airlines, S.A. - Costa Rica	West Caribbean
CSS	SF Airlines Company Ltd - China	Shun Feng
CST	?	Shoreline
CSU	Chari Aviation Services - Chad	Chari Service
CSV	Coastal Travels Limited - United Republic of Tanzania	Coastal Travel
CSW	?	Silkitalia
CSX	?	Choice Air
CSY	Shuangyang General Aviation Co. - China	Shuangyang
CSZ	Shenzhen Airlines - China	Shenzhen Air
